Artist Name;Popularity;danceability;energy;loudness;speechiness;acousticness;instrumentalness;liveness;valence;tempo;Class
R.E.M.;49.0;0.322;0.394;-9.563;0.0345;0.172;2.12e-06;0.0869;0.0883;113.973;10
Imagine Dragons;63.0;0.774;0.553;-6.815;0.0823;0.379;;0.739;0.514;102.055;0
Drake;86.0;0.761;0.518;-8.871;0.134;0.244;3.47e-05;0.107;0.522;133.976;9
Valkyrie;28.0;0.393;0.904;-7.683;0.0442;5.27e-06;0.853;0.0937;0.497;89.562;10
Fleetwood Mac;62.0;0.625;0.591;-9.127;0.0265;0.0138;0.0399;0.0893;0.863;126.597;10
Brittany Howard;54.0;0.598;0.853;-5.373;0.0545;0.132;0.00297;0.132;0.312;121.988;1
Alex Little and The Suspicious Minds;26.0;0.528;0.721;-3.905;0.0355;0.0002;0.0137;0.315;0.483;135.969;10
CADE;44.0;0.59;0.629;-6.014;0.0619;0.228;;0.909;0.406;157.928;10
Robin Trower;36.0;0.719;0.665;-7.679;0.0278;0.118;0.000875;0.276;0.658;104.99;2
Barenaked Ladies;71.0;0.702;0.898;-6.003;0.0373;0.00854;0.000154;0.0917;0.731;112.845;10
Manntra;42.0;0.596;0.857;-5.146;0.0269;0.000261;0.0689;0.234;0.5;102.062;8
Arlo Parks;60.0;0.596;0.576;-7.955;0.0388;0.376;0.0904;0.107;0.485;160.176;1
Nipsey Hussle;63.0;0.394;0.734;-4.574;0.185;0.0329;1.26e-06;0.109;0.0778;86.897;5
Behemoth;36.0;0.394;0.94;-5.3;0.152;7.17e-05;0.0033;0.0547;0.207;99.592;8
System Of A Down;80.0;0.417;0.934;-3.908;0.119;0.000278;0.0015;0.132;0.287;127.066;10
The Beatles;73.0;0.686;0.127;-14.361;0.0342;0.754;1.41e-05;0.0573;0.372;93.699;0
Sam Hunt;72.0;0.747;0.861;-5.251;0.0514;0.113;;0.026;0.859;103.966;4
Ashe;80.0;0.509;0.498;-6.94;0.0315;0.413;;0.0674;0.283;99.729;6
Marshmello;61.0;0.433;0.905;-2.171;0.101;0.00803;;0.337;0.375;148.149;10
Kevo Muney;44.0;0.887;0.667;-3.423;0.273;0.142;;0.195;0.487;135.069;5
Marlon Craft;45.0;0.707;0.909;-7.115;0.528;0.381;;0.119;0.608;87.036;5
The Cranberries;63.0;0.469;0.427;-7.954;0.0241;0.00414;3.77e-05;0.128;0.0821;84.053;10
Faron Young;43.0;0.604;0.441;-9.474;0.0352;0.791;;0.249;0.795;128.32;4
Traitor;21.0;0.375;0.991;-3.542;0.0759;2.12e-05;0.671;0.0405;0.624;176.034;8
L.A. WITCH;37.0;0.203;0.833;-3.529;0.0339;2.7e-05;0.854;0.318;0.665;155.117;6
Dj Streaks;38.0;0.806;0.69;-11.08;0.267;0.146;0.891;0.071;0.798;130.03;1
Edward Sharpe & The Magnetic Zeros;73.0;0.541;0.591;-6.688;0.0336;0.289;0.000431;0.124;0.116;111.676;9
J.PERIOD;32.0;0.805;0.876;-6.717;0.302;0.394;;0.762;0.801;135.011;5
Angus & Julia Stone;67.0;0.614;0.101;-22.159;0.0395;0.825;0.0217;0.707;0.155;75.902;6
The Doobie Brothers;75.0;0.645;0.598;-13.18;0.0335;0.221;3.53e-06;0.0721;0.913;105.929;10
Pins And Needles;38.0;0.589;0.68;-6.431;0.0274;0.0162;;0.109;0.612;172.066;0
Real De Catorce;21.0;0.509;0.491;-9.525;0.0301;0.435;0.409;0.145;0.718;92.533;2
Jackie Hayes;48.0;0.638;0.666;-6.951;0.0392;0.00784;6.65e-05;0.314;0.651;131.962;10
St. Vincent;59.0;0.713;0.794;-8.173;0.0943;0.197;0.000232;0.603;0.961;155.942;1
Oasis;53.0;0.339;0.459;-8.652;0.0329;0.303;;0.0909;0.22;171.95;10
John Moreland;44.0;0.395;0.866;-7.047;0.069;0.113;9.85e-06;0.112;0.835;150.768;10
Ministri;37.0;0.235;0.989;-4.702;0.0971;0.000405;;0.0757;0.26;104.035;10
Sam Fender;53.0;0.446;0.811;-3.075;0.0417;0.0175;0.0106;0.158;0.678;175.716;10
Larry Davis;48.0;0.467;0.277;-12.101;0.0283;0.89;7.66e-05;0.2;0.535;99.83;2
Willie Lofton;23.0;0.634;0.241;-11.479;0.0499;0.987;1.31e-05;0.15;0.899;142.097;2
Texas Alexander;25.0;0.541;0.0132;-24.372;0.086;0.979;1.95e-05;0.081;0.319;75.872;2
Sharon Van Etten;54.0;0.605;0.442;-14.252;0.0623;0.29;0.0122;0.219;0.72;139.979;6
lady gleep;22.0;0.679;0.621;-6.17;0.033;0.0126;;0.104;0.306;120.028;6
The Vines;35.0;0.599;0.99;-3.669;0.187;0.00232;0.000142;0.305;0.353;131.446;10
Little Richard;63.0;0.474;0.608;-5.139;0.0825;0.755;;0.0928;0.888;184.694;10
Pinetop Perkins;28.0;0.575;0.254;-13.192;0.0485;0.943;2.34e-05;0.0579;0.526;161.678;2
Volbeat;59.0;0.247;0.942;-2.796;0.0691;0.00408;1.86e-06;0.0864;0.601;94.094;8
Reveille;47.0;0.563;0.937;-5.243;0.0461;0.000111;;0.315;0.522;101.159;10
PVRIS;56.0;0.52;0.827;-7.225;0.0514;0.0412;0.0235;0.0999;0.411;101.99;10
The Armed;44.0;0.268;0.964;-4.944;0.129;5.91e-05;0.833;0.73;0.174;164.058;8
Mob Rules;32.0;0.508;0.989;-4.196;0.106;1.45e-05;0.000267;0.1;0.131;121.021;8
Modest Mouse;60.0;0.659;0.906;-3.906;0.0428;0.156;3.27e-06;0.105;0.792;94.997;6
Madison Beer;67.0;0.638;0.699;-6.542;0.0892;0.0203;;0.0879;0.57;121.122;9
Snow Patrol;70.0;0.56;0.595;-4.53;0.0274;0.199;6.47e-05;0.132;0.144;104.011;9
Barns Courtney;46.0;0.5;0.834;-4.419;0.036;0.00025;0.00367;0.496;0.456;98.111;10
Jagwar Twin;64.0;0.396;0.77;-4.728;0.06;0.0184;;0.12;0.412;177.542;1
Julien Baker;50.0;0.487;0.582;-8.938;0.0268;0.715;0.301;0.0971;0.271;104.003;6
Moments;22.0;0.118;0.964;-4.06;0.436;0.00012;0.139;0.337;0.107;200.003;8
Earshot;42.0;0.284;0.852;-5.135;0.18;0.000975;0.00625;0.581;0.473;103.067;8
Creeper;45.0;0.388;0.764;-3.002;0.0329;0.0382;1.01e-05;0.328;0.638;172.004;10
Zoe Wees;50.0;0.447;0.192;-9.83;0.034;0.888;;0.0969;0.33;138.8;9
Nascent;42.0;0.659;0.589;-9.924;0.184;0.409;6.74e-06;0.108;0.176;119.931;5
Adi-Keshet Cohen;14.0;0.488;0.585;-8.935;0.0365;0.499;0.0221;0.111;0.204;135.429;6
JAHMED;39.0;0.773;0.691;-5.724;0.228;0.00648;;0.127;0.574;161.006;5
Killswitch Engage;62.0;0.469;0.976;-3.569;0.111;0.000287;0.217;0.0636;0.222;124.001;8
Children of Zeus;41.0;0.82;0.387;-11.81;0.316;0.729;0.0836;0.0699;0.724;95.977;5
Maple Syrup;31.0;0.763;0.632;-11.229;0.273;0.332;;0.143;0.493;85.996;1
Catherine Wheel;30.0;0.246;0.413;-11.763;0.0348;0.102;0.0265;0.242;0.0873;149.731;6
Sadhana Sargam;33.0;0.631;0.572;-10.422;0.0382;0.395;0.0212;0.0736;0.672;138.125;3
KALEO;55.0;0.602;0.459;-7.167;0.036;0.63;0.000165;0.146;0.366;86.38;10
Ringunguinja;24.0;0.612;0.207;-17.136;0.0583;0.983;0.918;0.104;0.716;88.985;7
Brother Cane;45.0;0.48;0.978;-5.636;0.0773;0.0257;0.00247;0.403;0.655;150.319;10
Rod Wave;64.0;0.709;0.586;-9.018;0.0297;0.157;;0.0717;0.455;116.974;5
Pantera;53.0;0.364;0.811;-7.237;0.0621;0.00268;0.0093;0.106;0.151;120.758;8
Drown in Sulphur;29.0;0.273;0.934;-4.844;0.141;7.39e-05;0.664;0.145;0.152;129.174;8
SeeYouSpaceCowboy...;39.0;0.302;0.921;-4.549;0.104;5.77e-06;0.715;0.342;0.188;165.137;8
Al Foster;48.0;0.482;0.101;-18.914;0.0333;0.965;0.00335;0.125;0.189;105.719;7
Falete;32.0;0.575;0.406;-9.432;0.188;0.838;;0.0726;0.307;91.17;9
Brent Faiyaz;79.0;0.539;0.615;-8.746;0.252;0.173;0.0056;0.144;0.493;163.924;9
Pale Waves;53.0;0.598;0.906;-3.435;0.0447;0.00931;3.95e-05;0.16;0.525;97.007;6
Evanescence;50.0;0.545;0.903;-4.567;0.0427;3.5e-05;0.11;0.135;0.254;131.04;8
Britney Spears;49.0;0.847;0.801;-3.838;0.0565;0.0876;0.000204;0.766;0.841;93.19;9
T-Bone Walker;33.0;0.656;0.396;-13.577;0.0329;0.817;0.133;0.127;0.798;132.088;2
Jany Green;48.0;0.788;0.846;-6.005;0.0411;0.0364;0.00466;0.0963;0.794;121.928;6
Dinosaur Jr.;53.0;0.373;0.755;-7.574;0.103;0.00411;0.000799;0.0635;0.57;111.813;6
Parmalee;65.0;0.559;0.66;-4.143;0.0512;0.222;;0.193;0.574;163.957;4
Machine Gun Kelly;70.0;0.575;0.959;-2.469;0.108;0.000192;;0.0515;0.642;110.973;10
Leah Blevins;42.0;0.711;0.167;-13.319;0.0331;0.836;1.27e-06;0.1;0.476;82.842;0
Soen;48.0;0.477;0.973;-4.106;0.0541;0.00188;0.000135;0.379;0.403;107.618;8
Ella Henderson;67.0;0.68;0.84;-3.823;0.0414;0.0457;8.66e-06;0.143;0.468;104.975;9
Miss Lafamilia;44.0;0.727;0.632;-5.399;0.223;0.0966;;0.0913;0.193;144.22;5
Kavale;38.0;0.661;0.737;-6.645;0.315;0.39;;0.22;0.558;160.142;5
SyKo;79.0;0.691;0.814;-3.788;0.117;0.0164;;0.366;0.509;132.012;9
Igorrr;45.0;0.525;0.89;-4.222;0.0557;0.00135;0.813;0.0822;0.604;160.083;8
Pure Obsessions & Red Nights;35.0;0.471;0.816;-9.446;0.0375;0.000232;0.1;0.0828;0.246;140.032;8
The Expendables;44.0;0.613;0.797;-6.744;0.0328;8.86e-05;0.86;0.418;0.397;132.024;10
King Gizzard & The Lizard Wizard;61.0;0.529;0.491;-6.249;0.193;0.154;0.1;0.136;0.54;113.996;6
Bernard Allison;33.0;0.642;0.706;-7.712;0.103;0.259;0.0449;0.375;0.669;106.241;2
Lifehouse;50.0;0.499;0.82;-6.163;0.0301;0.0495;;0.345;0.593;144.949;10
James Blake;56.0;0.313;0.0516;-17.754;0.0443;0.986;0.00652;0.0938;0.0846;86.103;6
Death;58.0;0.158;0.572;-6.293;0.0346;0.000926;0.893;0.144;0.347;79.176;8
Sody;54.0;0.588;0.625;-9.502;0.212;0.69;4.38e-06;0.0799;0.116;121.809;9
Mahesh Raghvan;20.0;0.558;0.596;-9.943;0.0607;0.0573;0.0167;0.0776;0.244;169.925;0
Rick Estrin & The Nightcats;15.0;0.874;0.649;-6.352;0.0331;0.326;0.0028;0.0884;0.968;108.009;2
Blackjack Billy;48.0;0.731;0.84;-5.224;0.0282;0.047;;0.0532;0.775;93.987;10
Winsome;20.0;0.335;0.459;-11.137;0.0288;0.276;0.00375;0.106;0.37;185.161;10
Green Day;60.0;0.507;0.96;-6.224;0.0354;9.36e-05;1.02e-06;0.208;0.967;135.024;10
Ayane Yamazaki;6.0;0.552;0.26;-12.774;0.0277;0.868;0.00544;0.247;0.198;95.01;9
Necrophobic;33.0;0.285;0.973;-5.123;0.0965;4.7e-06;0.417;0.228;0.0769;159.75;8
Sum 41;73.0;0.402;0.914;-5.215;0.142;0.000579;;0.065;0.626;196.505;10
Alessandro Cortini;37.0;0.15;0.25;-13.268;0.0424;0.0836;0.841;0.276;0.0355;135.451;6
Spafford;35.0;0.316;0.535;-12.924;0.0402;0.00143;0.769;0.872;0.577;162.264;10
Skrizzly Adams;46.0;0.78;0.733;-5.958;0.0781;0.033;;0.231;0.746;129.938;10
Tee Grizzley;57.0;0.786;0.689;-6.765;0.236;0.266;;0.109;0.53;86.974;5
Sleepy Hallow;79.0;0.775;0.518;-5.857;0.311;0.455;;0.121;0.646;161.011;9
James Arthur;55.0;0.506;0.489;-6.589;0.039;0.789;;0.111;0.62;143.866;9
Sega Bodega;46.0;0.761;0.514;-9.271;0.143;0.0492;0.00801;0.217;0.258;110.042;6
Hollow Coves;60.0;0.568;0.558;-8.553;0.0278;0.724;0.000331;0.116;0.287;104.991;0
No Love For The Middle Child;48.0;0.673;0.923;-3.628;0.0521;0.0107;;0.12;0.946;139.969;1
Amusement Parks On Fire;31.0;0.282;0.813;-3.261;0.0503;5.31e-06;;0.499;0.387;70.994;6
Allison Russell;55.0;0.482;0.333;-9.78;0.0636;0.705;;0.106;0.414;73.271;2
Koko Taylor;38.0;0.647;0.62;-10.46;0.0432;0.151;4.88e-05;0.132;0.873;119.4;2
OWLS;32.0;0.53;0.793;-7.662;0.0382;0.0132;;0.236;0.603;101.258;10
Pandamic;37.0;0.492;0.678;-5.121;0.0467;0.000295;0.00229;0.364;0.349;104.428;10
The Rolling Stones;76.0;0.723;0.863;-7.89;0.0338;0.0383;0.0317;0.128;0.931;136.302;10
The Lonely Ones;38.0;0.595;0.91;-4.138;0.0535;0.000317;0.0331;0.583;0.635;109.041;10
Eric Reed;44.0;0.374;0.118;-16.48;0.0365;0.97;0.829;0.083;0.0954;145.312;7
Valencia Torres;46.0;0.57;0.0532;-17.396;0.0517;0.992;0.954;0.1;0.108;118.767;7
Datcha Mandala;15.0;0.503;0.825;-11.117;0.0383;0.000298;0.0365;0.298;0.691;133.206;10
Robert Cray;29.0;0.716;0.693;-6.291;0.0335;0.327;0.0071;0.0864;0.724;102.129;2
Electric Boys;34.0;0.45;0.894;-6.033;0.0519;9.45e-06;0.109;0.421;0.339;128.04;10
Kenny Chesney;58.0;0.604;0.605;-8.516;0.0352;0.115;1.22e-05;0.305;0.647;147.925;4
Charlie Marie;27.0;0.603;0.827;-5.222;0.0282;0.138;0.000323;0.123;0.664;107.009;1
Bay Ledges;36.0;0.695;0.654;-10.254;0.0523;0.379;0.149;0.177;0.946;86.016;6
Charley Crockett;49.0;0.64;0.486;-10.322;0.0268;0.568;0.0202;0.7;0.895;112.313;1
The Kooks;60.0;0.66;0.522;-7.754;0.0323;0.196;;0.356;0.524;135.825;10
Carrie Underwood;65.0;0.575;0.844;-1.772;0.0633;0.226;;0.0538;0.542;87.007;4
Stevie Ray Vaughan;53.0;0.336;0.909;-11.019;0.039;0.204;0.0211;0.333;0.956;172.162;2
Melii;33.0;0.907;0.734;-3.112;0.317;0.0741;2.36e-05;0.105;0.351;133.964;5
Kings of Leon;77.0;0.276;0.715;-5.356;0.0432;0.00552;0.000417;0.201;0.173;137.028;10
Herman's Hermits;54.0;0.659;0.663;-6.353;0.0292;0.31;1.7e-06;0.0745;0.961;133.849;10
Pomegranate Tiger;31.0;0.554;0.918;-6.172;0.107;2.86e-05;0.704;0.551;0.27;120.05;8
Vargas Blues Band;26.0;0.592;0.752;-7.309;0.0269;0.33;0.81;0.0545;0.379;100.038;2
Cordae;73.0;0.93;0.467;-8.449;0.116;0.00906;0.0062;0.131;0.169;139.972;5
Swimm;40.0;0.697;0.667;-6.354;0.0395;0.0038;2.08e-06;0.236;0.698;136.051;1
Jalen Santoy;41.0;0.806;0.741;-7.535;0.209;0.278;;0.0985;0.286;105.022;5
Psychedelic Porn Crumpets;41.0;0.386;0.94;-5.235;0.0871;6.8e-05;2.11e-05;0.329;0.378;150.112;10
Bombino;29.0;0.451;0.547;-8.522;0.0435;0.504;0.0099;0.326;0.126;87.721;2
CHASE B;69.0;0.904;0.498;-7.86;0.324;0.00919;;0.0791;0.145;132.992;5
Imarhan;17.0;0.6;0.624;-10.727;0.0387;0.468;0.124;0.166;0.756;98.586;2
Drama;49.0;0.908;0.517;-11.018;0.165;0.00834;;0.142;0.539;125.055;5
Oscar Peterson Trio;59.0;0.488;0.0527;-27.331;0.0478;0.971;0.911;0.0882;0.193;49.689;7
Tseba;49.0;0.543;0.922;-5.521;0.112;0.0598;0.159;0.109;0.73;121.984;6
Ram Jam;67.0;0.465;0.865;-9.573;0.098;0.018;0.00135;0.0769;0.677;117.528;10
The Fratellis;40.0;0.592;0.901;-4.004;0.0349;0.00151;2.11e-05;0.351;0.836;105.065;10
The Wombats;2.0;0.398;0.838;-6.679;0.102;0.00127;;0.576;0.747;116.913;6
Black Pistol Fire;55.0;0.282;0.843;-6.002;0.114;0.000839;3.02e-05;0.0699;0.418;175.798;10
Mukesh;30.0;0.492;0.264;-13.1;0.0308;0.941;6.06e-06;0.241;0.515;109.057;3
Junkyard Drive;36.0;0.367;0.856;-11.546;0.065;6.98e-05;0.00609;0.0492;0.322;167.849;8
Godsmack;48.0;0.684;0.659;-5.713;0.0234;0.027;5.9e-06;0.15;0.319;110.159;8
Count Basie;37.0;0.546;0.389;-14.135;0.0918;0.777;0.00273;0.0994;0.682;164.443;2
Tion Wayne;90.0;0.883;0.674;-8.043;0.357;0.21;;0.0678;0.73;141.02;9
Nickelback;69.0;0.455;0.858;-5.659;0.0391;0.000616;0.000247;0.226;0.597;163.118;10
Eels;56.0;0.409;0.717;-7.75;0.0395;0.000578;0.0632;0.0827;0.311;169.212;6
Tommy McClennan;34.0;0.707;0.275;-14.026;0.163;0.91;7.6e-06;0.112;0.619;108.657;2
A Tribe Called Quest;64.0;0.812;0.6;-9.414;0.254;0.00308;8.38e-06;0.173;0.555;97.338;5
Julia Wolf;7.0;0.781;0.407;-9.695;0.143;0.325;;0.153;0.314;91.046;6
Lagori;15.0;0.316;0.426;-9.745;0.0329;0.631;0.000682;0.103;0.252;130.013;0
Brama;11.0;0.375;0.744;-6.666;0.0481;0.00107;0.000109;0.329;0.687;102.718;10
J Balvin;85.0;0.503;0.548;-7.564;0.164;0.0751;0.000234;0.145;0.441;94.036;9
Bored at My Grandmas House;34.0;0.341;0.721;-6.614;0.034;0.00593;0.0272;0.79;0.623;115.014;6
Sleeping With Sirens;58.0;0.693;0.562;-7.323;0.0379;0.195;;0.123;0.183;123.979;10
Saweetie;72.0;0.882;0.839;-3.193;0.082;0.156;;0.132;0.71;117.032;5
Crazy Town;72.0;0.736;0.811;-4.17;0.081;0.00132;0.000142;0.107;0.609;103.502;10
David Bowie;37.0;0.537;0.355;-11.241;0.0363;0.357;;0.132;0.39;113.994;6
Black Spiders;30.0;0.473;0.963;-1.558;0.0571;0.00104;;0.191;0.739;157.929;10
Armor For Sleep;52.0;0.435;0.774;-5.052;0.0631;0.014;;0.127;0.448;147.466;10
Erica Banks;70.0;0.898;0.529;-5.428;0.2;0.0699;;0.536;0.8;110.032;9
Six Feet Under;43.0;0.615;0.893;-6.139;0.102;0.00291;0.00472;0.199;0.555;127.834;8
AJ Mitchell;54.0;0.393;0.517;-6.446;0.246;0.0379;;0.0738;0.535;70.59;9
Elvis Presley;67.0;0.494;0.756;-8.492;0.0499;0.733;0.00505;0.76;0.949;86.895;10
Young Guns;44.0;0.301;0.932;-6.21;0.141;1.93e-05;0.405;0.33;0.373;136.057;10
Bones Owens;50.0;0.591;0.42;-6.986;0.0317;0.0146;0.000121;0.101;0.52;129.918;10
Dirty Honey;57.0;0.452;0.916;-3.17;0.0478;0.000308;0.000391;0.118;0.592;90.995;10
Sonoda;32.0;0.291;0.8;-8.02;0.0422;0.0772;0.00177;0.0953;0.499;174.713;6
Within Destruction;42.0;0.287;0.991;-0.645;0.123;0.00657;0.00489;0.368;0.108;159.831;8
Nirvana;60.0;0.262;0.969;-4.675;0.0894;3.69e-06;0.00213;0.133;0.263;158.433;10
Danzig;37.0;0.581;0.809;-9.67;0.0397;0.00304;6.77e-05;0.3;0.19;127.991;8
Boys Noize;40.0;0.619;0.629;-4.109;0.33;0.0473;0.227;0.314;0.262;123.003;1
James Blunt;29.0;0.5;0.673;-10.292;0.0367;0.0729;0.0147;0.493;0.56;149.326;9
The Rolling Stones;64.0;0.596;0.901;-7.373;0.0482;0.0362;0.749;0.0698;0.621;137.359;10
Chris Stapleton;76.0;0.602;0.477;-8.425;0.032;0.268;3.1e-05;0.173;0.552;183.89;1
R.E.M.;43.0;0.274;0.567;-5.98;0.0276;0.0861;0.0461;0.398;0.29;144.713;10
The Killers;82.0;0.352;0.911;-5.23;0.0747;0.00121;;0.0995;0.236;148.033;1
PJ Harvey;52.0;0.552;0.669;-4.462;0.0329;0.00697;0.0467;0.0781;0.561;126.092;6
aroomfullofmirrors;43.0;0.622;0.41;-14.002;0.409;0.451;1.86e-05;0.191;0.472;77.426;5
Bruce Springsteen;74.0;0.62;0.446;-14.451;0.0347;0.589;0.0299;0.0727;0.868;88.591;10
Nothing But Thieves;55.0;0.289;0.841;-4.33;0.146;0.00582;0.00769;0.267;0.399;183.17;1
Jacob Banks;54.0;0.574;0.691;-7.805;0.0336;0.0142;0.000431;0.169;0.767;95.009;10
Red Hot Chili Peppers;73.0;0.666;0.936;-9.919;0.0476;0.00244;0.086;0.153;0.776;91.577;10
MOD SUN;68.0;0.54;0.631;-4.569;0.0336;0.00316;;0.104;0.194;84.903;1
Raful Neal;11.0;0.778;0.6;-9.764;0.031;0.297;0.0264;0.12;0.848;100.189;2
Let's Eat Grandma;44.0;0.716;0.552;-6.927;0.0863;0.202;;0.0942;0.181;103.002;6
Hot Hot Heat;49.0;0.568;0.971;-3.478;0.0543;0.0518;4.24e-05;0.265;0.778;139.27;10
Jesse Roper;40.0;0.357;0.658;-8.197;0.0621;0.0078;0.00274;0.132;0.227;164.221;10
Joy Room;31.0;0.365;0.893;-3.983;0.0841;0.00331;8.84e-06;0.142;0.612;163.39;10
Phoxjaw;28.0;0.277;0.848;-7.714;0.0789;0.00421;0.000219;0.0896;0.126;128.194;1
Five Finger Death Punch;71.0;0.664;0.828;-6.053;0.0404;0.00839;;0.294;0.82;103.985;10
While She Sleeps;52.0;0.42;0.876;-5.35;0.098;0.0235;0.000146;0.157;0.117;119.091;8
Hatebreed;54.0;0.585;0.907;-4.787;0.102;7.21e-05;;0.0682;0.573;92.634;8
Lil Gnar;64.0;0.797;0.713;-4.384;0.279;0.0696;;0.0694;0.464;130.059;5
Leprous;47.0;0.537;0.425;-9.499;0.0392;0.391;0.00311;0.115;0.0728;109.02;10
Gracious K;21.0;0.442;0.765;-5.63;0.255;0.000146;1.61e-06;0.313;0.671;162.74;5
Veil Of Maya;54.0;0.476;0.971;-3.797;0.0964;5.25e-05;9.45e-05;0.316;0.207;140.02;8
My Life As Ali Thomas;34.0;0.488;0.78;-4.971;0.0412;0.0162;0.00994;0.0968;0.355;87.937;10
Keaton Henson;53.0;0.389;0.314;-8.559;0.0345;0.772;0.576;0.109;0.107;95.641;6
Metallica;69.0;0.633;0.846;-6.347;0.0337;0.000819;0.00139;0.0762;0.448;89.23;10
Linkin Park;82.0;0.496;0.863;-4.153;0.0381;0.0046;;0.639;0.243;110.018;10
vedawave;27.0;0.621;0.921;-6.847;0.0418;0.087;0.53;0.232;0.781;120.012;6
Ben Miller Band;19.0;0.495;0.71;-8.533;0.0486;0.275;0.0171;0.195;0.495;153.617;2
Figueroa;35.0;0.417;0.569;-7.56;0.0303;0.000302;0.606;0.104;0.0352;140.02;6
Geeta Dutt;14.0;0.563;0.614;-6.695;0.0394;0.845;;0.167;0.962;154.797;3
Bruno Pernadas;37.0;0.548;0.682;-7.105;0.0356;0.323;0.00149;0.105;0.458;107.939;6
Squeeze;51.0;0.593;0.702;-12.668;0.0409;0.002;8.38e-05;0.19;0.901;142.006;6
Nicholas Britell;43.0;0.266;0.0128;-24.109;0.052;0.909;0.922;0.131;0.0637;65.694;7
Napalm Death;38.0;0.116;0.963;-4.829;0.133;1.02e-06;0.886;0.0765;0.224;91.439;8
Pakshee;25.0;0.701;0.518;-8.892;0.0415;0.406;0.000149;0.122;0.551;100.018;0
Joy Division;60.0;0.525;0.902;-8.662;0.0368;0.000989;0.691;0.137;0.907;146.83;6
Nuclear Assault;35.0;0.151;0.992;-4.451;0.191;2.94e-05;0.827;0.183;0.068;143.467;8
Ailbhe Reddy;36.0;0.548;0.161;-14.991;0.0326;0.861;0.000243;0.102;0.309;80.069;6
Kevo Muney;50.0;0.803;0.545;-8.822;0.279;0.0336;;0.112;0.0993;144.01;5
Dolly Parton;72.0;0.674;0.537;-10.971;0.0363;0.566;;0.131;0.809;110.578;4
The Collective;52.0;0.479;0.115;-20.306;0.0343;0.936;0.756;0.152;0.115;116.047;7
Cut Copy;18.0;0.783;0.82;-6.102;0.0489;0.00054;0.499;0.0628;0.235;129.015;6
M24;59.0;0.875;0.661;-6.71;0.259;0.41;;0.0889;0.739;141.894;5
Sowulo;47.0;0.559;0.552;-8.414;0.0335;0.00888;0.367;0.0725;0.342;130.04;8
The OBGMs;32.0;0.46;0.949;-5.59;0.084;0.00141;0.304;0.234;0.214;146.051;1
Mndsgn;37.0;0.552;0.618;-8.155;0.0317;0.486;0.0773;0.313;0.442;157.956;1
Fontaines D.C.;50.0;0.657;0.716;-7.76;0.0264;0.2;0.000728;0.173;0.513;112.045;10
Slipknot;75.0;0.291;0.974;-2.997;0.171;0.0177;5.44e-06;0.886;0.348;134.724;8
Primus;51.0;0.533;0.924;-11.679;0.0721;0.00185;0.185;0.373;0.371;128.548;10
NewDad;53.0;0.534;0.623;-7.144;0.0247;0.668;0.379;0.121;0.395;82.487;1
Simon & Garfunkel;75.0;0.606;0.457;-14.035;0.0497;0.713;2.53e-05;0.0747;0.813;92.033;0
Bloc Party;28.0;0.635;0.875;-8.536;0.0421;0.000722;0.111;0.483;0.934;149.98;1
Arik Einstein;41.0;0.409;0.377;-13.552;0.0346;0.622;0.000205;0.107;0.513;156.291;10
IDLES;43.0;0.504;0.607;-8.561;0.033;0.0288;0.342;0.112;0.0366;101.031;6
Bullet For My Valentine;56.0;0.378;0.986;-2.769;0.0832;0.000248;;0.0833;0.492;94.458;10
Evildead;17.0;0.315;0.961;-2.722;0.094;3.09e-05;7.53e-05;0.321;0.501;99.024;8
Crashing Atlas;29.0;0.454;0.957;-5.458;0.105;0.000104;0.0695;0.372;0.592;155.028;10
Elton John;37.0;0.478;0.344;-11.238;0.0363;0.854;1.87e-05;0.818;0.27;128.286;9
Headcharger;10.0;0.491;0.89;-7.115;0.0433;7.36e-06;0.104;0.25;0.555;137.989;10
Dire Straits;71.0;0.613;0.441;-11.999;0.0309;0.546;0.0132;0.0869;0.525;87.573;10
UNSECRET;34.0;0.847;0.654;-5.431;0.0378;0.0748;0.0656;0.128;0.875;119.955;9
The Black Keys;67.0;0.725;0.747;-5.545;0.0876;0.0272;0.0468;0.104;0.38;132.921;6
Childish Gambino;83.0;0.743;0.347;-11.174;0.121;0.167;0.00951;0.103;0.572;160.143;9
Stiff Little Fingers;53.0;0.439;0.971;-5.855;0.177;0.0148;1.34e-05;0.255;0.24;118.369;1
Kyuss;52.0;0.461;0.168;-16.225;0.042;0.449;0.886;0.265;0.309;169.675;8
Satyr;37.0;0.357;0.981;-3.452;0.231;0.000279;0.151;0.0986;0.202;112.493;8
Swastik The Band;37.0;0.55;0.648;-6.5;0.0557;0.276;9.72e-05;0.069;0.352;80.03;0
Bright Eyes;49.0;0.408;0.532;-7.933;0.0325;0.134;0.0654;0.0966;0.241;99.672;6
The Isley Brothers;20.0;0.577;0.464;-10.061;0.0585;0.558;5.25e-05;0.259;0.548;110.959;10
Nature TV;30.0;0.472;0.653;-7.267;0.0522;0.733;9.84e-05;0.206;0.624;168.922;6
Celeste;61.0;0.611;0.834;-4.528;0.0299;0.0544;1.57e-05;0.232;0.643;109.997;6
Chad Kroeger;63.0;0.427;0.843;-4.54;0.0364;0.00216;;0.179;0.304;147.387;10
National Nightmare;32.0;0.493;0.937;-3.555;0.0884;0.0198;0.000216;0.103;0.435;155.179;10
